iter,direct1,directN,linear_normal,linear_normal_learned,linear_uniform,linear_uniform_learned,normal,normal_learned,sincos
0,0.0004275249190628529,0.0004857255306094885,0.0006607379116117954,0.0006437635216861963,0.0005606080818921327,0.0005578000670298934,0.0007248606974375434,0.0006935856229742058,0.0005436752993613482
1,0.00042727266289293767,0.0004796137150377035,0.0006500372169539332,0.0006334529563784599,0.000554029268398881,0.0005509296208620071,0.0007106157731963322,0.0006755162120047316,0.0005393644642084837
2,0.0004270212057977915,0.0004736483458429575,0.0006395114856772125,0.0006232698692008853,0.0005475390769541263,0.0005441709149628878,0.0006964548083138652,0.0006590995619029854,0.000535090042091906
3,0.0004267705641686916,0.0004678307916969061,0.000629173260834068,0.0006132233031094075,0.0005411404063925148,0.0005375272829085589,0.0006813837953319308,0.0006428699577103544,0.0005308530706912279
4,0.0004265207417309284,0.00046216179095208643,0.0006190322242677212,0.0006033223802223802,0.0005348359659314156,0.0005310015816241502,0.0006669091933057643,0.0006268387452997558,0.0005266544269397855
5,0.000426271740719676,0.0004566413938999176,0.0006090976955369114,0.0005935766607522965,0.0005286279248073697,0.0005245955435559153,0.0006530369431129657,0.00061103928677785,0.0005224947633221745
6,0.0004260235533118248,0.00045126976445317266,0.0005993790267966688,0.0005839953906834125,0.0005225177533924579,0.000518310204707086,0.0006382725449104328,0.0005949336405843496,0.0005183745834976435
7,0.0004257761996239424,0.00044604663029313086,0.0005898853027261794,0.0005745864791795611,0.0005165060289204121,0.0005121461732313036,0.0006241211321030278,0.00057901642664674,0.0005142944054678082
8,0.00042552965246140956,0.00044097104966640474,0.0005806241864338517,0.0005653553989715875,0.0005105925023555756,0.0005061037309467793,0.0006105873028252973,0.0005632762596054818,0.0005102546021342277
9,0.00042528392858803273,0.0004360416993498802,0.0005716009479947388,0.0005563049501739443,0.0005047765370458365,0.0005001827970147133,0.0005956751691614044,0.0005476953559671528,0.0005062554558739066
10,0.0004250390063971281,0.000431257189437747,0.0005628175173886121,0.0005474352088756859,0.0004990574948489666,0.0004943828856572509,0.0005818882407693309,0.0005323409088403424,0.0005022971771657467
11,0.0004247948829084635,0.00042661609947681426,0.0005542721311561764,0.0005387437875382602,0.0004934349095448851,0.0004887030806392432,0.0005687296061441885,0.0005166960698992625,0.0004983798837289214
12,0.000424551559984684,0.0004221167914569378,0.0005459592899307609,0.0005302258342504501,0.0004879085432738066,0.0004831419611349702,0.000555701851122285,0.000501738123877658,0.0004945035932585597
13,0.00042430903390049937,0.000417757298797369,0.0005378700715489685,0.0005218741576187313,0.0004824783269315958,0.00047769765108823776,0.0005418072041229607,0.00048701856674342707,0.0004906682571396232
14,0.0004240672878921032,0.0004135354023426771,0.0005299926345236599,0.0005136795631609857,0.00047714437041431666,0.0004723678121343255,0.0005285476670815114,0.0004730954549875605,0.000486873771622777
15,0.00042382632493972777,0.0004094487003982067,0.000522312895860523,0.0005056313383392989,0.00047190687526017425,0.00046714972723275425,0.0005149249558489828,0.0004578345463814912,0.00048311993964016435
16,0.0004235861450433731,0.0004054945856332779,0.0005148152061738074,0.0004977178934961557,0.00046676608938723803,0.00046204041577875614,0.000501940716063109,0.00044432055109064095,0.0004794065061956644
17,0.0004233467347919941,0.00040167009122669695,0.0005074832948856056,0.0004899275727570057,0.00046172219924628735,0.0004570366483181715,0.0004890964305581293,0.0004305526575573822,0.0004757331158965826
18,0.00042310808636248113,0.00039797191880643366,0.0005003010700456798,0.0004822493588551879,0.00045677538514137265,0.00045213512498885395,0.0004768935682877782,0.00041750832459401863,0.0004720993643626571
19,0.0004228702038526535,0.00039439667612314227,0.0004932536027394235,0.000474673484172672,0.000451925652846694,0.00044733245261013507,0.00046433358982831123,0.00040419927838083824,0.00046850479915738107
20,0.0004226330753415823,0.00039094098545610907,0.0004863277773372829,0.00046719180792570116,0.000447172892279923,0.0004426252523437142,0.0004519179840630386,0.0003912175529781052,0.00046494888104498384
21,0.00042239668369293214,0.0003876015491783619,0.00047951293494552375,0.00045979812936857345,0.0004425168188288808,0.0004380102228373289,0.0004401483256970096,0.0003784497013883083,0.00046143102813512085
22,0.0004221610389649868,0.00038437511585652826,0.0004728011778090149,0.0004524882432073355,0.0004379570128396153,0.0004334841614589095,0.0004275262853327149,0.00036538997966890745,0.0004579506577923894
23,0.00042192611284554,0.00038125844486057756,0.0004661874645855278,0.00044525982197374107,0.00043349286187440155,0.0004290439680218697,0.0004155537033602741,0.0003530720280399692,0.00045450714714825153
24,0.00042169190756976606,0.00037824840918183325,0.0004596694576088339,0.0004381123432889581,0.00042912360094487666,0.00042468671426177025,0.00040423260206371196,0.0003414643407231779,0.0004510998733341694
25,0.0004214584033936262,0.0003753420822322369,0.0004532471841201186,0.00043104683365672826,0.0004248483221977949,0.0004204096311703324,0.0003930651637550909,0.0003296119262487991,0.0004477282244712114
26,0.00042122559659183025,0.0003725366547703743,0.0004469226231332868,0.00042406566888093946,0.000420665958058089,0.00041621009092777966,0.0003815537862228666,0.00031851474760460403,0.0004443915816023946
27,0.00042099348045885563,0.00036982940770685673,0.0004406991911586374,0.0004171723178587854,0.0004165753276087344,0.0004120856592431664,0.0003707010537436872,0.0003066495625163952,0.00044108935762196777
28,0.00042076202929019926,0.00036721752919256686,0.00043458119770511987,0.00041037113089114426,0.00041257506432011725,0.0004080340556800365,0.00035900974920150474,0.00029552968069492636,0.00043782098665833474
29,0.000420531240105629,0.0003646981021389365,0.0004285732697229832,0.0004036670476198196,0.00040866373255848883,0.00040405312571674585,0.0003474828570986574,0.00028516403533631094,0.0004345858994871378
30,0.0004203011006116867,0.00036226806715130807,0.000422679882356897,0.0003970653616823256,0.0004048397369682789,0.00040014090202748775,0.00033662353533654824,0.0002745292540994342,0.00043138357512652873
31,0.00042007159143686297,0.00035992427226155994,0.0004169048307929188,0.000390571456681937,0.0004011013763025403,0.00039629550175741314,0.00032593503526441055,0.0002640880309962085,0.0004282134836539626
32,0.00041984270997345445,0.0003576635640114546,0.00041125092753209176,0.00038419056693091987,0.0003974468178115785,0.00039251517280936243,0.0003149207748188928,0.00025394199543188735,0.0004250751413404942
33,0.00041961443834006787,0.0003554828640073538,0.00040571970166638496,0.0003779275788925588,0.0003938741442747414,0.0003887982401996851,0.00030408421725260266,0.000244500065180182,0.00042196804583072663
34,0.0004193867716938257,0.0003533792093396187,0.00040031129848212,0.00037178691597655413,0.00039038131861016156,0.0003851431236602366,0.0002939288448955267,0.00023529776866489555,0.0004188917374238372
35,0.0004191596820950508,0.000351349794305861,0.0003950244591105729,0.0003657724698074162,0.0003869662394747138,0.00038154829936102035,0.00028445818628242706,0.00022637946847698913,0.0004158457484096289
36,0.00041893317103385924,0.00034939193800091745,0.00038985668462701144,0.0003598877183161676,0.00038362669916823506,0.00037801229059696197,0.00027467566814011663,0.00021717440656193504,0.0004128296222537756
37,0.00041870721764862535,0.00034750304743647574,0.0003848044191952795,0.00035413595512509343,0.000380360465683043,0.00037453363044187424,0.00026508462450092337,0.00020875698738982465,0.0004098429078236222
38,0.00041848182007670403,0.00034568065777421,0.0003798634230159223,0.00034852079059928656,0.0003771652385592461,0.00037111090756952763,0.00025618824951052375,0.00020053795240200997,0.0004068851863965392
