 	36310014	0.09666023651395755	0.09666023651395755
a	33320642	0.08870228297121857	0.18536251948517612
e	30252861	0.08053559823700102	0.26589811772217714
i	25864167	0.06885253471553318	0.3347506524377103
n	23385880	0.06225513137744947	0.3970057838151598
o	23378707	0.062236036262902986	0.45924182007806275
r	21991705	0.058543723135033296	0.517785543213096
s	20999753	0.05590306552111739	0.5736886087342133
t	20137119	0.053606663033776536	0.6272952717679898
l	17176794	0.045726034988351344	0.6730213067563412
c	11880230	0.031626147035917256	0.7046474537922585
m	10563939	0.028122072391903244	0.7327695261841617
h	10539396	0.0280567369121438	0.7608262630963055
u	10111421	0.02691743234668533	0.7877436954429908
d	9961382	0.026518016217946916	0.8142617116609377
g	7482254	0.01991837406885894	0.8341800857297967
p	6798041	0.018096942923006874	0.8522770286528036
b	6551414	0.017440401613198295	0.8697174302660019
y	5403582	0.014384778649288424	0.8841022089152903
f	5299159	0.014106796055354504	0.8982090049706448
k	4518332	0.012028170514298971	0.9102371754849438
v	3573993	0.00951426261304192	0.9197514380979857
w	3523539	0.009379949925278285	0.9291313880232639
)	2397236	0.006381638925828383	0.9355130269490923
(	2396909	0.006380768424997949	0.9418937953740902
1	2088183	0.005558914481950501	0.9474527098560407
0	1746073	0.004648189591737293	0.952100899447778
j	1741703	0.004636556293177673	0.9567374557409557
-	1655746	0.004407731706383786	0.9611451874473395
2	1640948	0.004368338216204092	0.9655135256635435
,	1388436	0.0036961305535297556	0.9692096562170733
z	1290625	0.0034357496461121296	0.9726454058631855
9	1239453	0.0032995255834364105	0.9759449314466219
.	1141708	0.0030393203734341017	0.978984251820056
x	741605	0.001974213358880376	0.9809584651789364
'	677912	0.0018046573668533974	0.9827631225457898
8	617880	0.0016448472572124068	0.9844079698030022
3	609629	0.0016228824182157415	0.9860308522212179
4	564892	0.0015037888535334222	0.9875346410747513
5	535419	0.0014253293092662163	0.9889599703840175
6	530411	0.0014119976023585323	0.9903719679863761
7	522650	0.0013913371835664926	0.9917633051699426
q	454906	0.001210997097153925	0.9929743022670965
–	363251	0.0009670039668376772	0.9939413062339342
é	203001	0.0005404053182840937	0.9944817115522183
:	155810	0.00041477900425044526	0.9948964905564688
á	114046	0.00030359980950353814	0.9952000903659723
